Category,Graham
Total_doses_administered,22676
Total_people_one_dose,12721
Total_people_complete,11158
Total_doses_ordered,21350
total_pouluation,38476
Male-65 years and older,1693
Male-55-64 years,1030
Male-45-54 years,919
Male-20-44 years,2165
Male-Less than 20 years,457
Female-65 years and older,2134
Female-55-64 years,1180
Female-45-54 years,830
Female-20-44 years,1778
Female-Less than 20 years,524
"Asian or Pacific Islander, non-Hispanic",65
"Black or African American, non-Hispanic",75
Other Race,970
"American Indian or Alaska Native, non-Hispanic",1084
Hispanic or Latino,2095
Unknown,4020
"White, non-Hispanic",4412
