Category,Gila
Total_doses_administered,54593
Total_people_one_dose,29846
Total_people_complete,26413
Total_doses_ordered,37560
total_pouluation,55159
Male-65 years and older,5954
Male-55-64 years,2669
Male-45-54 years,1654
Male-20-44 years,3307
Male-Less than 20 years,795
Female-65 years and older,6316
Female-55-64 years,2977
Female-45-54 years,1746
Female-20-44 years,3433
Female-Less than 20 years,933
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1373
Other Race,4963
Unknown,5478
"American Indian or Alaska Native, non-Hispanic",6077
"White, non-Hispanic",11594
