Category,Arizona
Total_doses_administered,7422193
Total_people_complete,3578966
Total_doses_ordered,5346480
total_pouluation,7189020
Total_people_one_dose,4059077
Male-65 years and older,525502
Male-55-64 years,303656
Male-45-54 years,266917
Male-20-44 years,636783
Male-Less than 20 years,169354
Female-65 years and older,647699
Female-55-64 years,349155
Female-45-54 years,291597
Female-20-44 years,671315
Female-Less than 20 years,177545
"Black or African American, non-Hispanic",111817
"American Indian or Alaska Native, non-Hispanic",120583
"Asian or Pacific Islander, non-Hispanic",151495
Unknown,435202
Other Race,683470
Hispanic or Latino,693654
"White, non-Hispanic",1862856
