Category,Pima
Total_doses_administered,876380
Total_people_one_dose,481666
Total_people_complete,429581
Total_doses_ordered,600905
total_pouluation,1044675
Male-65 years and older,70552
Male-55-64 years,34438
Male-45-54 years,28792
Male-20-44 years,67996
Male-Less than 20 years,13695
Female-65 years and older,93181
Female-55-64 years,43239
Female-45-54 years,34659
Female-20-44 years,79249
Female-Less than 20 years,14952
"Black or African American, non-Hispanic",0.0183591949608235
"American Indian or Alaska Native, non-Hispanic",0.0201591974521764
"Asian or Pacific Islander, non-Hispanic",0.0255488242890302
Other Race,0.1276382389456594
Unknown,0.1686998874738927
Hispanic or Latino,0.2172625844464837
"White, non-Hispanic",0.4223320724319342
