Category,Yavapai
Total_doses_administered,155559
Total_people_one_dose,90961
Total_people_complete,70913
Total_doses_ordered,161200
total_pouluation,232386
Male-65 years and older,21937
Male-55-64 years,7112
Male-45-54 years,3679
Male-20-44 years,6773
Male-Less than 20 years,822
Female-65 years and older,27363
Female-55-64 years,9412
Female-45-54 years,4562
Female-20-44 years,7179
Female-Less than 20 years,800
"Black or African American, non-Hispanic",0.00396873385297
"American Indian or Alaska Native, non-Hispanic",0.0089269027385363
"Asian or Pacific Islander, non-Hispanic",0.0117522894427282
Hispanic or Latino,0.0483833730939633
Other Race,0.1487450665669903
Unknown,0.2938292235133739
"White, non-Hispanic",0.4843944107914382
