,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5055110,1452087,15900,85948,121310,42761,15984,7922,14961,1858329,109346,43408,685510,211856,44672,155559,141443
Total_people_one_dose,2939904,814328,9128,51117,67225,24215,9300,4519,8490,1130469,66611,25799,400914,127074,26878,90961,82876
Total_people_complete,2296992,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,577169,,,,,,,,,,,,,,,,
55-64 years,290783,,,,,,,,,,,,,,,,
45-54 years,215548,,,,,,,,,,,,,,,,
20-44 years,453348,,,,,,,,,,,,,,,,
Less than 20 years,50881,,,,,,,,,,,,,,,,
65 years and older,400914,,,,,,,,,,,,,,,,
55-64 years,242529,,,,,,,,,,,,,,,,
45-54 years,187348,,,,,,,,,,,,,,,,
20-44 years,405184,,,,,,,,,,,,,,,,
Less than 20 years,43719,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",66130,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",70306,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",108241,,,,,,,,,,,,,,,,
Hispanic or Latino,378146,,,,,,,,,,,,,,,,
Unknown,400241,,,,,,,,,,,,,,,,
Other Race,501551,,,,,,,,,,,,,,,,
"White, non-Hispanic",1415289,,,,,,,,,,,,,,,,
