Category,Mohave
Total_doses_administered,163669
Total_people_one_dose,85317
Total_people_complete,73742
total_pouluation,85317
Male-65 years and older,19786
Male-55-64 years,7874
Male-45-54 years,4070
Male-20-44 years,7071
Male-Less than 20 years,1463
Female-65 years and older,22203
Female-55-64 years,9230
Female-45-54 years,4629
Female-20-44 years,7149
Female-Less than 20 years,1668
"Black or African American, non-Hispanic",538
"American Indian or Alaska Native, non-Hispanic",653
"Asian or Pacific Islander, non-Hispanic",1213
Hispanic or Latino,6581
Unknown,13184
Other Race,15021
"White, non-Hispanic",48127
