Category,Graham
Total_doses_administered,39274
Total_people_one_dose,19895
Total_people_complete,18013
total_pouluation,19895
Male-65 years and older,2344
Male-55-64 years,1548
Male-45-54 years,1403
Male-20-44 years,3444
Male-Less than 20 years,857
Female-65 years and older,2833
Female-55-64 years,1688
Female-45-54 years,1363
Female-20-44 years,3444
Female-Less than 20 years,959
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1507
Hispanic or Latino,3500
Unknown,4201
"American Indian or Alaska Native, non-Hispanic",4767
"White, non-Hispanic",5748
