Category,Cochise
Total_doses_administered,139381
Total_people_one_dose,72804
Total_people_complete,64521
total_pouluation,72804
Male-65 years and older,10690
Male-55-64 years,5189
Male-45-54 years,4034
Male-20-44 years,10906
Male-Less than 20 years,3440
Female-65 years and older,12674
Female-55-64 years,6239
Female-45-54 years,4527
Female-20-44 years,11408
Female-Less than 20 years,3603
"American Indian or Alaska Native, non-Hispanic",318
"Asian or Pacific Islander, non-Hispanic",1357
"Black or African American, non-Hispanic",1398
Unknown,9609
Other Race,11558
Hispanic or Latino,18321
"White, non-Hispanic",30243
