Category,Gila
Total_doses_administered,49605
Total_people_one_dose,24999
Total_people_complete,22420
total_pouluation,24999
Male-65 years and older,5628
Male-55-64 years,2182
Male-45-54 years,1223
Male-20-44 years,2310
Male-Less than 20 years,574
Female-65 years and older,6058
Female-55-64 years,2534
Female-45-54 years,1367
Female-20-44 years,2426
Female-Less than 20 years,639
"Black or African American, non-Hispanic",79
"Asian or Pacific Islander, non-Hispanic",199
Hispanic or Latino,1348
"American Indian or Alaska Native, non-Hispanic",2411
Other Race,4430
Unknown,5050
"White, non-Hispanic",11482
