Category,Santa Cruz
Total_doses_administered,92366
Total_people_one_dose,48185
Total_people_complete,42910
total_pouluation,48185
Male-65 years and older,4453
Male-55-64 years,3074
Male-45-54 years,3217
Male-20-44 years,8599
Male-Less than 20 years,3845
Female-65 years and older,5349
Female-55-64 years,3323
Female-45-54 years,3429
Female-20-44 years,8631
Female-Less than 20 years,4199
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",51
"Asian or Pacific Islander, non-Hispanic",176
Unknown,2999
Other Race,3161
"White, non-Hispanic",6832
Hispanic or Latino,34918
