Category,Maricopa
Total_doses_administered,5004147
Total_people_one_dose,2498321
Total_people_complete,2249198
total_pouluation,2498321
Male-65 years and older,277489
Male-55-64 years,182923
Male-45-54 years,176972
Male-20-44 years,420201
Male-Less than 20 years,112799
Female-65 years and older,347372
Female-55-64 years,206319
Female-45-54 years,192578
Female-20-44 years,450398
Female-Less than 20 years,116846
"American Indian or Alaska Native, non-Hispanic",46081
"Black or African American, non-Hispanic",91100
"Asian or Pacific Islander, non-Hispanic",118932
Unknown,194869
Hispanic or Latino,405884
Other Race,447409
"White, non-Hispanic",1194046
