Category,Yavapai
Total_doses_administered,187684
Total_people_one_dose,107713
Total_people_complete,90141
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23822
Male-55-64 years,8429
Male-45-54 years,4864
Male-20-44 years,9427
Male-Less than 20 years,1909
Female-65 years and older,29768
Female-55-64 years,10792
Female-45-54 years,5666
Female-20-44 years,9569
Female-Less than 20 years,2157
"Black or African American, non-Hispanic",542
"American Indian or Alaska Native, non-Hispanic",1065
"Asian or Pacific Islander, non-Hispanic",1407
Hispanic or Latino,6651
Other Race,16472
Unknown,27208
"White, non-Hispanic",54368
