Category,Navajo
Total_doses_administered,74521
Total_people_one_dose,41916
Total_people_complete,35879
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6782
Male-55-64 years,3505
Male-45-54 years,2470
Male-20-44 years,5214
Male-Less than 20 years,2775
Female-65 years and older,7460
Female-55-64 years,3753
Female-45-54 years,2501
Female-20-44 years,4539
Female-Less than 20 years,2883
"Black or African American, non-Hispanic",216
"Asian or Pacific Islander, non-Hispanic",401
Unknown,2108
Hispanic or Latino,2185
Other Race,8092
"White, non-Hispanic",14043
"American Indian or Alaska Native, non-Hispanic",14871
