Category,Cochise
Total_doses_administered,118937
Total_people_one_dose,67069
Total_people_complete,58717
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10669
Male-55-64 years,5152
Male-45-54 years,3730
Male-20-44 years,9576
Male-Less than 20 years,2534
Female-65 years and older,12616
Female-55-64 years,6189
Female-45-54 years,4301
Female-20-44 years,9591
Female-Less than 20 years,2619
"American Indian or Alaska Native, non-Hispanic",317
"Black or African American, non-Hispanic",1246
"Asian or Pacific Islander, non-Hispanic",1291
Unknown,8974
Other Race,10177
Hispanic or Latino,16225
"White, non-Hispanic",28839
