Category,Mohave
Total_doses_administered,153318
Total_people_one_dose,88301
Total_people_complete,72721
Total_doses_ordered,128270
total_pouluation,216985
Male-65 years and older,21443
Male-55-64 years,8350
Male-45-54 years,4246
Male-20-44 years,6987
Male-Less than 20 years,1174
Female-65 years and older,23895
Female-55-64 years,9736
Female-45-54 years,4500
Female-20-44 years,6498
Female-Less than 20 years,1316
"Black or African American, non-Hispanic",603
"American Indian or Alaska Native, non-Hispanic",893
"Asian or Pacific Islander, non-Hispanic",1270
Hispanic or Latino,6148
Unknown,14990
Other Race,15773
"White, non-Hispanic",48624
