Category,Arizona
Total_doses_administered,7078349
Total_people_complete,3423209
Total_doses_ordered,5275110
total_pouluation,7189020
Total_people_one_dose,3899203
Male-65 years and older,514967
Male-55-64 years,295945
Male-45-54 years,256134
Male-20-44 years,601489
Male-Less than 20 years,153960
Female-65 years and older,635421
Female-55-64 years,341096
Female-45-54 years,281498
Female-20-44 years,636553
Female-Less than 20 years,162729
"Black or African American, non-Hispanic",105516
"American Indian or Alaska Native, non-Hispanic",114610
"Asian or Pacific Islander, non-Hispanic",147632
Unknown,422778
Hispanic or Latino,648007
Other Race,658032
"White, non-Hispanic",1802628
