Category,Coconino
Total_doses_administered,149061
Total_people_one_dose,82017
Total_people_complete,73493
Total_doses_ordered,97508
total_pouluation,147275
Male-65 years and older,7672
Male-55-64 years,5979
Male-45-54 years,5402
Male-20-44 years,16241
Male-Less than 20 years,3093
Female-65 years and older,8770
Female-55-64 years,6709
Female-45-54 years,5537
Female-20-44 years,18724
Female-Less than 20 years,3810
"Black or African American, non-Hispanic",586
"Asian or Pacific Islander, non-Hispanic",1213
Hispanic or Latino,5717
Other Race,9489
Unknown,16904
"American Indian or Alaska Native, non-Hispanic",17102
"White, non-Hispanic",31006
