Category,Apache
Total_doses_administered,31920
Total_people_one_dose,17949
Total_people_complete,11698
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1914
Male-55-64 years,1271
Male-45-54 years,980
Male-20-44 years,2341
Male-Less than 20 years,2416
Female-65 years and older,2020
Female-55-64 years,1391
Female-45-54 years,968
Female-20-44 years,2137
Female-Less than 20 years,2501
"Asian or Pacific Islander, non-Hispanic",163
"Black or African American, non-Hispanic",271
Unknown,994
Other Race,1202
Hispanic or Latino,1755
"White, non-Hispanic",3126
"American Indian or Alaska Native, non-Hispanic",10438
