Category,Pinal
Total_doses_administered,308369
Total_people_one_dose,176705
Total_people_complete,155274
Total_doses_ordered,197908
total_pouluation,455210
Male-65 years and older,29784
Male-55-64 years,13642
Male-45-54 years,12561
Male-20-44 years,28316
Male-Less than 20 years,5331
Female-65 years and older,34146
Female-55-64 years,14573
Female-45-54 years,11312
Female-20-44 years,21038
Female-Less than 20 years,5410
"Asian or Pacific Islander, non-Hispanic",3202
"Black or African American, non-Hispanic",4996
"American Indian or Alaska Native, non-Hispanic",8497
Other Race,18867
Hispanic or Latino,27768
Unknown,35645
"White, non-Hispanic",77730
