Category,Maricopa
Total_doses_administered,2975140
Total_people_one_dose,1704037
Total_people_complete,1461795
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,179085
Male-55-64 years,125515
Male-45-54 years,123697
Male-20-44 years,284480
Male-Less than 20 years,76181
Female-65 years and older,232439
Female-55-64 years,144882
Female-45-54 years,137727
Female-20-44 years,309355
Female-Less than 20 years,78901
"American Indian or Alaska Native, non-Hispanic",36101
"Black or African American, non-Hispanic",65296
"Asian or Pacific Islander, non-Hispanic",80257
Unknown,169041
Other Race,260981
Hispanic or Latino,306685
"White, non-Hispanic",785676
