Category,Santa Cruz
Total_doses_administered,93022
Total_people_one_dose,48587
Total_people_complete,42994
total_pouluation,48587
Male-65 years and older,4463
Male-55-64 years,3086
Male-45-54 years,3227
Male-20-44 years,8633
Male-Less than 20 years,3934
Female-65 years and older,5361
Female-55-64 years,3334
Female-45-54 years,3456
Female-20-44 years,8697
Female-Less than 20 years,4330
"Black or African American, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",53
"Asian or Pacific Islander, non-Hispanic",176
Unknown,2655
Other Race,3354
"White, non-Hispanic",7099
Hispanic or Latino,35199
