Category,Navajo
Total_doses_administered,87225
Total_people_one_dose,44815
Total_people_complete,38702
total_pouluation,44815
Male-65 years and older,7040
Male-55-64 years,3417
Male-45-54 years,2528
Male-20-44 years,5424
Male-Less than 20 years,3279
Female-65 years and older,7933
Female-55-64 years,3929
Female-45-54 years,2530
Female-20-44 years,5266
Female-Less than 20 years,3434
"Black or African American, non-Hispanic",191
"Asian or Pacific Islander, non-Hispanic",325
Unknown,1997
Hispanic or Latino,2299
Other Race,6066
"White, non-Hispanic",15382
"American Indian or Alaska Native, non-Hispanic",18555
