Category,Coconino
Total_doses_administered,179435
Total_people_one_dose,88580
Total_people_complete,80036
total_pouluation,88580
Male-65 years and older,9118
Male-55-64 years,6145
Male-45-54 years,5614
Male-20-44 years,16504
Male-Less than 20 years,4413
Female-65 years and older,10307
Female-55-64 years,6971
Female-45-54 years,5720
Female-20-44 years,18800
Female-Less than 20 years,4729
"Black or African American, non-Hispanic",727
"Asian or Pacific Islander, non-Hispanic",1451
Hispanic or Latino,6467
Other Race,8251
Unknown,12966
"American Indian or Alaska Native, non-Hispanic",20648
"White, non-Hispanic",38070
