Category,Maricopa
Total_doses_administered,5033166
Total_people_one_dose,2506639
Total_people_complete,2253061
total_pouluation,2506639
Male-65 years and older,277975
Male-55-64 years,183211
Male-45-54 years,177326
Male-20-44 years,421361
Male-Less than 20 years,114630
Female-65 years and older,347932
Female-55-64 years,206617
Female-45-54 years,192932
Female-20-44 years,451649
Female-Less than 20 years,118579
"American Indian or Alaska Native, non-Hispanic",47999
"Black or African American, non-Hispanic",95750
"Asian or Pacific Islander, non-Hispanic",124192
Unknown,164042
Hispanic or Latino,407944
Other Race,414698
"White, non-Hispanic",1252014
