Category,Yuma
Total_doses_administered,271060
Total_people_one_dose,141388
Total_people_complete,122875
total_pouluation,141388
Male-65 years and older,15174
Male-55-64 years,9907
Male-45-54 years,8804
Male-20-44 years,26476
Male-Less than 20 years,8617
Female-65 years and older,17637
Female-55-64 years,10515
Female-45-54 years,9665
Female-20-44 years,24946
Female-Less than 20 years,9130
"Black or African American, non-Hispanic",768
"American Indian or Alaska Native, non-Hispanic",1108
"Asian or Pacific Islander, non-Hispanic",1120
Other Race,16640
Unknown,27203
"White, non-Hispanic",31402
Hispanic or Latino,63147
