Category,Arizona
Total_doses_administered,8584371
Total_people_complete,396542
total_pouluation,7189020
Total_people_one_dose,4336068
Male-65 years and older,543071
Male-55-64 years,315771
Male-45-54 years,285200
Male-20-44 years,703059
Male-Less than 20 years,196836
Female-65 years and older,664021
Female-55-64 years,360180
Female-45-54 years,308300
Female-20-44 years,734496
Female-Less than 20 years,205478
"Black or African American, non-Hispanic",130411
"Asian or Pacific Islander, non-Hispanic",163272
"American Indian or Alaska Native, non-Hispanic",172581
Unknown,394938
Other Race,639019
Hispanic or Latino,775275
"White, non-Hispanic",2060572
