Category,Yavapai
Total_doses_administered,217810
Total_people_one_dose,111718
Total_people_complete,95662
total_pouluation,111718
Male-65 years and older,24786
Male-55-64 years,8843
Male-45-54 years,4838
Male-20-44 years,9739
Male-Less than 20 years,2272
Female-65 years and older,30588
Female-55-64 years,11243
Female-45-54 years,5774
Female-20-44 years,9903
Female-Less than 20 years,2584
"Black or African American, non-Hispanic",513
"Asian or Pacific Islander, non-Hispanic",1319
"American Indian or Alaska Native, non-Hispanic",1342
Hispanic or Latino,7463
Other Race,16480
Unknown,19506
"White, non-Hispanic",65095
