Category,Mohave
Total_doses_administered,165013
Total_people_one_dose,85616
Total_people_complete,73949
total_pouluation,85616
Male-65 years and older,19854
Male-55-64 years,7893
Male-45-54 years,4090
Male-20-44 years,7104
Male-Less than 20 years,1477
Female-65 years and older,22268
Female-55-64 years,9262
Female-45-54 years,4636
Female-20-44 years,7178
Female-Less than 20 years,1680
"Black or African American, non-Hispanic",569
"American Indian or Alaska Native, non-Hispanic",673
"Asian or Pacific Islander, non-Hispanic",1257
Hispanic or Latino,6621
Unknown,11145
Other Race,13883
"White, non-Hispanic",51468
