Category,Pinal
Total_doses_administered,464103
Total_people_one_dose,237993
Total_people_complete,213548
total_pouluation,237993
Male-65 years and older,35545
Male-55-64 years,17783
Male-45-54 years,16253
Male-20-44 years,36371
Male-Less than 20 years,9871
Female-65 years and older,41104
Female-55-64 years,20084
Female-45-54 years,16566
Female-20-44 years,33796
Female-Less than 20 years,9875
"Asian or Pacific Islander, non-Hispanic",4800
"Black or African American, non-Hispanic",8577
"American Indian or Alaska Native, non-Hispanic",8694
Unknown,28205
Other Race,29938
Hispanic or Latino,37672
"White, non-Hispanic",120107
