Category,Greenlee
Total_doses_administered,8232
Total_people_one_dose,4125
Total_people_complete,3655
total_pouluation,4125
Male-65 years and older,502
Male-55-64 years,370
Male-45-54 years,316
Male-20-44 years,764
Male-Less than 20 years,147
Female-65 years and older,504
Female-55-64 years,316
Female-45-54 years,318
Female-20-44 years,730
Female-Less than 20 years,156
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",44
Other Race,80
"American Indian or Alaska Native, non-Hispanic",110
Unknown,283
"White, non-Hispanic",1725
Hispanic or Latino,1842
