Category,Greenlee
Total_doses_administered,8222
Total_people_one_dose,4642
Total_people_complete,4146
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,535
Male-55-64 years,581
Male-45-54 years,480
Male-20-44 years,971
Male-Less than 20 years,44
Female-65 years and older,514
Female-55-64 years,402
Female-45-54 years,360
Female-20-44 years,711
Female-Less than 20 years,42
"Black or African American, non-Hispanic",0.009047824213701
"Asian or Pacific Islander, non-Hispanic",0.010340370529944
"American Indian or Alaska Native, non-Hispanic",0.017664799655321
Other Race,0.027143472641103
Unknown,0.0784144765187419
"White, non-Hispanic",0.4144765187419216
Hispanic or Latino,0.4429125376992676
