Category,Mohave
Total_doses_administered,162396
Total_people_one_dose,85043
Total_people_complete,73533
total_pouluation,85043
Male-65 years and older,19703
Male-55-64 years,7865
Male-45-54 years,4055
Male-20-44 years,7034
Male-Less than 20 years,1460
Female-65 years and older,22146
Female-55-64 years,9217
Female-45-54 years,4608
Female-20-44 years,7117
Female-Less than 20 years,1664
"Black or African American, non-Hispanic",537
"American Indian or Alaska Native, non-Hispanic",644
"Asian or Pacific Islander, non-Hispanic",1205
Hispanic or Latino,6554
Unknown,13218
Other Race,15007
"White, non-Hispanic",47878
