Category,La Paz
Total_doses_administered,15737
Total_people_one_dose,8263
Total_people_complete,7281
total_pouluation,8263
Male-65 years and older,2275
Male-55-64 years,589
Male-45-54 years,309
Male-20-44 years,630
Male-Less than 20 years,256
Female-65 years and older,2323
Female-55-64 years,688
Female-45-54 years,358
Female-20-44 years,556
Female-Less than 20 years,262
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",390
Other Race,1179
Hispanic or Latino,1198
Unknown,1888
"White, non-Hispanic",3491
