Category,Navajo
Total_doses_administered,86198
Total_people_one_dose,44524
Total_people_complete,38572
total_pouluation,44524
Male-65 years and older,6999
Male-55-64 years,3411
Male-45-54 years,2511
Male-20-44 years,5389
Male-Less than 20 years,3247
Female-65 years and older,7903
Female-55-64 years,3899
Female-45-54 years,2512
Female-20-44 years,5219
Female-Less than 20 years,3399
"Black or African American, non-Hispanic",187
"Asian or Pacific Islander, non-Hispanic",359
Hispanic or Latino,2287
Unknown,2690
Other Race,7684
"White, non-Hispanic",14018
"American Indian or Alaska Native, non-Hispanic",17299
