Category,Apache
Total_doses_administered,40233
Total_people_one_dose,21951
Total_people_complete,16846
total_pouluation,21951
Male-65 years and older,2336
Male-55-64 years,1603
Male-45-54 years,1213
Male-20-44 years,2874
Male-Less than 20 years,2716
Female-65 years and older,2746
Female-55-64 years,1732
Female-45-54 years,1237
Female-20-44 years,2696
Female-Less than 20 years,2790
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",111
Hispanic or Latino,495
Other Race,1247
Unknown,1506
"White, non-Hispanic",3282
"American Indian or Alaska Native, non-Hispanic",15262
