Category,Graham
Total_doses_administered,39009
Total_people_one_dose,19857
Total_people_complete,17984
total_pouluation,19857
Male-65 years and older,2340
Male-55-64 years,1543
Male-45-54 years,1401
Male-20-44 years,3437
Male-Less than 20 years,855
Female-65 years and older,2831
Female-55-64 years,1683
Female-45-54 years,1359
Female-20-44 years,3441
Female-Less than 20 years,955
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1519
Hispanic or Latino,3491
Unknown,4199
"American Indian or Alaska Native, non-Hispanic",4758
"White, non-Hispanic",5718
