Category,Gila
Total_doses_administered,49258
Total_people_one_dose,24957
Total_people_complete,22394
total_pouluation,24957
Male-65 years and older,5618
Male-55-64 years,2178
Male-45-54 years,1225
Male-20-44 years,2305
Male-Less than 20 years,571
Female-65 years and older,6047
Female-55-64 years,2534
Female-45-54 years,1365
Female-20-44 years,2418
Female-Less than 20 years,638
"Black or African American, non-Hispanic",79
"Asian or Pacific Islander, non-Hispanic",199
Hispanic or Latino,1346
"American Indian or Alaska Native, non-Hispanic",2404
Other Race,4430
Unknown,5072
"White, non-Hispanic",11427
