Category,Coconino
Total_doses_administered,176453
Total_people_one_dose,87881
Total_people_complete,79821
total_pouluation,87881
Male-65 years and older,9084
Male-55-64 years,6126
Male-45-54 years,5590
Male-20-44 years,16411
Male-Less than 20 years,4238
Female-65 years and older,10275
Female-55-64 years,6932
Female-45-54 years,5705
Female-20-44 years,18702
Female-Less than 20 years,4560
"Black or African American, non-Hispanic",677
"Asian or Pacific Islander, non-Hispanic",1424
Hispanic or Latino,6365
Other Race,10269
Unknown,15120
"American Indian or Alaska Native, non-Hispanic",19253
"White, non-Hispanic",34773
