Category,Cochise
Total_doses_administered,138028
Total_people_one_dose,72415
Total_people_complete,64396
total_pouluation,72415
Male-65 years and older,10646
Male-55-64 years,5164
Male-45-54 years,4007
Male-20-44 years,10851
Male-Less than 20 years,3406
Female-65 years and older,12624
Female-55-64 years,6217
Female-45-54 years,4507
Female-20-44 years,11339
Female-Less than 20 years,3560
"American Indian or Alaska Native, non-Hispanic",316
"Asian or Pacific Islander, non-Hispanic",1355
"Black or African American, non-Hispanic",1395
Unknown,9599
Other Race,11517
Hispanic or Latino,18111
"White, non-Hispanic",30122
