Category,Maricopa
Total_doses_administered,4980956
Total_people_one_dose,2493674
Total_people_complete,2245963
total_pouluation,2493674
Male-65 years and older,277045
Male-55-64 years,182700
Male-45-54 years,176652
Male-20-44 years,419253
Male-Less than 20 years,112543
Female-65 years and older,346856
Female-55-64 years,206088
Female-45-54 years,192248
Female-20-44 years,449294
Female-Less than 20 years,116572
"American Indian or Alaska Native, non-Hispanic",45983
"Black or African American, non-Hispanic",90746
"Asian or Pacific Islander, non-Hispanic",118680
Unknown,195151
Hispanic or Latino,404643
Other Race,447258
"White, non-Hispanic",1191213
