Category,Pima
Total_doses_administered,1359945
Total_people_one_dose,674781
Total_people_complete,611971
total_pouluation,674781
Male-65 years and older,88576
Male-55-64 years,46317
Male-45-54 years,39738
Male-20-44 years,105849
Male-Less than 20 years,29710
Female-65 years and older,114549
Female-55-64 years,55693
Female-45-54 years,45221
Female-20-44 years,116262
Female-Less than 20 years,31429
"American Indian or Alaska Native, non-Hispanic",13220
"Black or African American, non-Hispanic",13815
"Asian or Pacific Islander, non-Hispanic",19114
Unknown,82208
Other Race,94148
Hispanic or Latino,155501
"White, non-Hispanic",296775
