Category,Maricopa
Total_doses_administered,5227123
Total_people_one_dose,2571364
Total_people_complete,2271868
total_pouluation,2571364
Male-65 years and older,280633
Male-55-64 years,185113
Male-45-54 years,179384
Male-20-44 years,427464
Male-Less than 20 years,134088
Female-65 years and older,351127
Female-55-64 years,208560
Female-45-54 years,194864
Female-20-44 years,458185
Female-Less than 20 years,137512
"American Indian or Alaska Native, non-Hispanic",49648
"Black or African American, non-Hispanic",98673
"Asian or Pacific Islander, non-Hispanic",129133
Unknown,170436
Other Race,419942
Hispanic or Latino,425055
"White, non-Hispanic",1278477
