Category,Coconino
Total_doses_administered,188630
Total_people_one_dose,91746
Total_people_complete,80630
total_pouluation,91746
Male-65 years and older,9229
Male-55-64 years,6209
Male-45-54 years,5676
Male-20-44 years,16750
Male-Less than 20 years,5527
Female-65 years and older,10431
Female-55-64 years,7018
Female-45-54 years,5779
Female-20-44 years,19074
Female-Less than 20 years,5791
"Black or African American, non-Hispanic",757
"Asian or Pacific Islander, non-Hispanic",1535
Hispanic or Latino,6821
Other Race,8435
Unknown,12886
"American Indian or Alaska Native, non-Hispanic",21702
"White, non-Hispanic",39610
