Category,Graham
Total_doses_administered,40782
Total_people_one_dose,20386
Total_people_complete,18208
total_pouluation,20386
Male-65 years and older,2360
Male-55-64 years,1556
Male-45-54 years,1415
Male-20-44 years,3493
Male-Less than 20 years,1010
Female-65 years and older,2853
Female-55-64 years,1700
Female-45-54 years,1381
Female-20-44 years,3502
Female-Less than 20 years,1104
"Asian or Pacific Islander, non-Hispanic",81
"Black or African American, non-Hispanic",88
Other Race,1276
Hispanic or Latino,3599
Unknown,3980
"American Indian or Alaska Native, non-Hispanic",5061
"White, non-Hispanic",6301
