Category,La Paz
Total_doses_administered,16683
Total_people_one_dose,8523
Total_people_complete,7391
total_pouluation,8523
Male-65 years and older,2322
Male-55-64 years,590
Male-45-54 years,316
Male-20-44 years,645
Male-Less than 20 years,308
Female-65 years and older,2359
Female-55-64 years,706
Female-45-54 years,362
Female-20-44 years,576
Female-Less than 20 years,321
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",87
"American Indian or Alaska Native, non-Hispanic",477
Other Race,1126
Hispanic or Latino,1256
Unknown,1752
"White, non-Hispanic",3787
