Category,Gila
Total_doses_administered,52555
Total_people_one_dose,25488
Total_people_complete,22642
total_pouluation,25488
Male-65 years and older,5711
Male-55-64 years,2204
Male-45-54 years,1235
Male-20-44 years,2345
Male-Less than 20 years,653
Female-65 years and older,6122
Female-55-64 years,2571
Female-45-54 years,1384
Female-20-44 years,2490
Female-Less than 20 years,715
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",200
Hispanic or Latino,1389
"American Indian or Alaska Native, non-Hispanic",2588
Other Race,4016
Unknown,4558
"White, non-Hispanic",12650
