Category,Navajo
Total_doses_administered,91415
Total_people_one_dose,46609
Total_people_complete,39064
total_pouluation,46609
Male-65 years and older,7125
Male-55-64 years,3459
Male-45-54 years,2577
Male-20-44 years,5528
Male-Less than 20 years,3906
Female-65 years and older,8010
Female-55-64 years,3985
Female-45-54 years,2587
Female-20-44 years,5396
Female-Less than 20 years,4001
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",340
Unknown,2152
Hispanic or Latino,2371
Other Race,6138
"White, non-Hispanic",15663
"American Indian or Alaska Native, non-Hispanic",19750
