Category,Apache
Total_doses_administered,45027
Total_people_one_dose,24777
Total_people_complete,17243
total_pouluation,24777
Male-65 years and older,2459
Male-55-64 years,1707
Male-45-54 years,1319
Male-20-44 years,3062
Male-Less than 20 years,3562
Female-65 years and older,2920
Female-55-64 years,1851
Female-45-54 years,1334
Female-20-44 years,2926
Female-Less than 20 years,3629
"Black or African American, non-Hispanic",51
"Asian or Pacific Islander, non-Hispanic",114
Hispanic or Latino,524
Other Race,1042
Unknown,1085
"White, non-Hispanic",3517
"American Indian or Alaska Native, non-Hispanic",18444
