Category,Greenlee
Total_doses_administered,8583
Total_people_one_dose,4199
Total_people_complete,3685
total_pouluation,4199
Male-65 years and older,506
Male-55-64 years,369
Male-45-54 years,322
Male-20-44 years,763
Male-Less than 20 years,177
Female-65 years and older,506
Female-55-64 years,317
Female-45-54 years,319
Female-20-44 years,734
Female-Less than 20 years,184
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",46
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,293
"White, non-Hispanic",1741
Hispanic or Latino,1883
