Category,Cochise
Total_doses_administered,148706
Total_people_one_dose,76923
Total_people_complete,65283
total_pouluation,76923
Male-65 years and older,10884
Male-55-64 years,5302
Male-45-54 years,4147
Male-20-44 years,11177
Male-Less than 20 years,4680
Female-65 years and older,12851
Female-55-64 years,6351
Female-45-54 years,4658
Female-20-44 years,11811
Female-Less than 20 years,4963
"American Indian or Alaska Native, non-Hispanic",340
"Asian or Pacific Islander, non-Hispanic",1420
"Black or African American, non-Hispanic",1511
Unknown,9051
Other Race,11544
Hispanic or Latino,20828
"White, non-Hispanic",32229
