Category,Pinal
Total_doses_administered,482376
Total_people_one_dose,243811
Total_people_complete,216012
total_pouluation,243811
Male-65 years and older,35925
Male-55-64 years,17970
Male-45-54 years,16462
Male-20-44 years,37255
Male-Less than 20 years,11311
Female-65 years and older,41489
Female-55-64 years,20264
Female-45-54 years,16762
Female-20-44 years,34374
Female-Less than 20 years,11253
"Asian or Pacific Islander, non-Hispanic",4954
"Black or African American, non-Hispanic",8870
"American Indian or Alaska Native, non-Hispanic",9123
Unknown,28878
Other Race,30337
Hispanic or Latino,39129
"White, non-Hispanic",122520
