Category,Mohave
Total_doses_administered,171923
Total_people_one_dose,87418
Total_people_complete,74817
total_pouluation,87418
Male-65 years and older,20229
Male-55-64 years,8015
Male-45-54 years,4159
Male-20-44 years,7258
Male-Less than 20 years,1659
Female-65 years and older,22557
Female-55-64 years,9368
Female-45-54 years,4721
Female-20-44 years,7408
Female-Less than 20 years,1869
"Black or African American, non-Hispanic",586
"American Indian or Alaska Native, non-Hispanic",695
"Asian or Pacific Islander, non-Hispanic",1305
Hispanic or Latino,6834
Unknown,11391
Other Race,14082
"White, non-Hispanic",52525
