Category,Santa Cruz
Total_doses_administered,66073
Total_people_one_dose,36428
Total_people_complete,33338
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3548
Male-55-64 years,2568
Male-45-54 years,2910
Male-20-44 years,7072
Male-Less than 20 years,2101
Female-65 years and older,4294
Female-55-64 years,2600
Female-45-54 years,2764
Female-20-44 years,6395
Female-Less than 20 years,2109
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",29
"Asian or Pacific Islander, non-Hispanic",94
Other Race,1971
Unknown,2286
"White, non-Hispanic",4679
Hispanic or Latino,27353
