Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,6845695,23498,146096,115687,20274,8366,50447,17295,2848421,148819,62227,297715,903233,66073,183804,200807
Total_people_complete,3349896,11302,72465,57526,10158,4206,25027,8515,1419068,71201,30583,151446,454108,33338,88806,97394
Total_doses_ordered,5244710,16600,96258,89070,18830,9770,36570,18600,1557479,126080,40790,196653,615768,49212,166400,140858
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,3758090,13231,79885,64893,11167,4740,28068,9483,1619429,85203,35107,169259,507046,36428,104913,113217
Male-65 years and older,508305,1706,7556,10518,1619,546,5786,3101,175922,21028,6201,29434,71785,3548,23554,15675
Male-55-64 years,288696,915,5898,5055,955,590,2572,680,121415,8064,2819,13264,35663,2568,8224,8539
Male-45-54 years,246215,597,5251,3617,815,485,1552,310,117585,4022,1940,11963,30279,2910,4661,7415
Male-20-44 years,570636,1116,15761,9142,1912,1000,2991,493,265529,6591,3932,26481,72641,7072,8961,20908
Male-Less than 20 years,138050,2182,2774,2245,242,47,603,124,66168,963,2516,4530,17545,2101,1729,3905
Female-65 years and older,627375,1746,8653,12459,2036,524,6140,3000,228645,23432,6659,33782,94695,4294,29384,17753
Female-55-64 years,334065,1023,6613,6080,1092,406,2870,835,140853,9463,3122,14238,44375,2600,10584,9050
Female-45-54 years,271807,649,5463,4194,732,365,1667,341,131608,4276,1982,10773,36029,2764,5448,7652
Female-20-44 years,605948,1030,18302,9150,1468,731,3114,449,290442,6086,3265,19517,84196,6395,9124,17773
Female-Less than 20 years,147681,2258,3537,2342,285,44,713,135,69522,1125,2639,4685,18911,2109,1934,4223
"Black or African American, non-Hispanic",100358,246,562,1203,66,45,92,27,61218,575,197,4660,9621,29,510,620
"American Indian or Alaska Native, non-Hispanic",101876,6346,16562,310,925,84,5449,177,34686,852,9597,8112,10438,16,1038,1474
"Asian or Pacific Islander, non-Hispanic",144451,150,1186,1263,60,48,254,70,77793,1222,360,3103,12917,94,1358,683
Unknown,408636,965,16699,8646,3653,381,5287,2591,159677,14553,1876,34511,82974,2286,26772,32737
Hispanic or Latino,604883,1577,5393,15317,1818,2093,1234,971,280973,5682,2004,25994,115804,27353,6242,46998
Other Race,641360,966,9260,9967,874,127,4705,1073,249965,15427,7615,18008,64014,1971,16126,10100
"White, non-Hispanic",1756526,2981,30223,28187,3771,1962,11047,4574,755117,46892,13458,74871,211278,4679,52867,20605
