Category,Mohave
Total_doses_administered,148819
Total_people_one_dose,85203
Total_people_complete,71201
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21028
Male-55-64 years,8064
Male-45-54 years,4022
Male-20-44 years,6591
Male-Less than 20 years,963
Female-65 years and older,23432
Female-55-64 years,9463
Female-45-54 years,4276
Female-20-44 years,6086
Female-Less than 20 years,1125
"Black or African American, non-Hispanic",575
"American Indian or Alaska Native, non-Hispanic",852
"Asian or Pacific Islander, non-Hispanic",1222
Hispanic or Latino,5682
Unknown,14553
Other Race,15427
"White, non-Hispanic",46892
