Category,Apache
Total_doses_administered,23498
Total_people_one_dose,13231
Total_people_complete,11302
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1706
Male-55-64 years,915
Male-45-54 years,597
Male-20-44 years,1116
Male-Less than 20 years,2182
Female-65 years and older,1746
Female-55-64 years,1023
Female-45-54 years,649
Female-20-44 years,1030
Female-Less than 20 years,2258
"Asian or Pacific Islander, non-Hispanic",150
"Black or African American, non-Hispanic",246
Unknown,965
Other Race,966
Hispanic or Latino,1577
"White, non-Hispanic",2981
"American Indian or Alaska Native, non-Hispanic",6346
