Category,La Paz
Total_doses_administered,17295
Total_people_one_dose,9483
Total_people_complete,8515
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3101
Male-55-64 years,680
Male-45-54 years,310
Male-20-44 years,493
Male-Less than 20 years,124
Female-65 years and older,3000
Female-55-64 years,835
Female-45-54 years,341
Female-20-44 years,449
Female-Less than 20 years,135
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",177
Hispanic or Latino,971
Other Race,1073
Unknown,2591
"White, non-Hispanic",4574
