Category,Coconino
Total_doses_administered,146096
Total_people_one_dose,79885
Total_people_complete,72465
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7556
Male-55-64 years,5898
Male-45-54 years,5251
Male-20-44 years,15761
Male-Less than 20 years,2774
Female-65 years and older,8653
Female-55-64 years,6613
Female-45-54 years,5463
Female-20-44 years,18302
Female-Less than 20 years,3537
"Black or African American, non-Hispanic",562
"Asian or Pacific Islander, non-Hispanic",1186
Hispanic or Latino,5393
Other Race,9260
"American Indian or Alaska Native, non-Hispanic",16562
Unknown,16699
"White, non-Hispanic",30223
