Category,Cochise
Total_doses_administered,115687
Total_people_one_dose,64893
Total_people_complete,57526
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10518
Male-55-64 years,5055
Male-45-54 years,3617
Male-20-44 years,9142
Male-Less than 20 years,2245
Female-65 years and older,12459
Female-55-64 years,6080
Female-45-54 years,4194
Female-20-44 years,9150
Female-Less than 20 years,2342
"American Indian or Alaska Native, non-Hispanic",310
"Black or African American, non-Hispanic",1203
"Asian or Pacific Islander, non-Hispanic",1263
Unknown,8646
Other Race,9967
Hispanic or Latino,15317
"White, non-Hispanic",28187
