Category,Navajo
Total_doses_administered,62227
Total_people_one_dose,35107
Total_people_complete,30583
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6201
Male-55-64 years,2819
Male-45-54 years,1940
Male-20-44 years,3932
Male-Less than 20 years,2516
Female-65 years and older,6659
Female-55-64 years,3122
Female-45-54 years,1982
Female-20-44 years,3265
Female-Less than 20 years,2639
"Black or African American, non-Hispanic",197
"Asian or Pacific Islander, non-Hispanic",360
Unknown,1876
Hispanic or Latino,2004
Other Race,7615
"American Indian or Alaska Native, non-Hispanic",9597
"White, non-Hispanic",13458
