,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5055109,1444035,15870,85275,120649,40378,15665,7898,14877,1843465,107946,43234,680719,211036,44128,154727,140068
Total_people_one_dose,2925915,811926,9121,50828,67036,23025,9117,4510,8454,1124128,66057,25740,399423,126732,26721,90650,82447
Total_people_complete,2272515,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,576126,,,,,,,,,,,,,,,,
55-64 years,289831,,,,,,,,,,,,,,,,
45-54 years,214368,,,,,,,,,,,,,,,,
20-44 years,450160,,,,,,,,,,,,,,,,
Less than 20 years,50330,,,,,,,,,,,,,,,,
65 years and older,90650,,,,,,,,,,,,,,,,
55-64 years,241504,,,,,,,,,,,,,,,,
45-54 years,186081,,,,,,,,,,,,,,,,
20-44 years,401816,,,,,,,,,,,,,,,,
Less than 20 years,43230,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",65708,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",69065,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",107716,,,,,,,,,,,,,,,,
Hispanic or Latino,375384,,,,,,,,,,,,,,,,
Unknown,398177,,,,,,,,,,,,,,,,
Other Race,499614,,,,,,,,,,,,,,,,
"White, non-Hispanic",1410251,,,,,,,,,,,,,,,,
