Category,Santa Cruz
Total_doses_administered,44128
Total_people_one_dose,26721
Total_people_complete,19117
Total_doses_ordered,44200
total_pouluation,53161
Male-65 years and older,3314
Male-55-64 years,2196
Male-45-54 years,2266
Male-20-44 years,4563
Male-Less than 20 years,577
Female-65 years and older,4063
Female-55-64 years,2314
Female-45-54 years,2343
Female-20-44 years,4382
Female-Less than 20 years,630
"American Indian or Alaska Native, non-Hispanic",0.0004490849893342
"Black or African American, non-Hispanic",0.0006362037348902
"Asian or Pacific Islander, non-Hispanic",0.0025822386886718
Other Race,0.0389206990756334
Unknown,0.0808352980801617
"White, non-Hispanic",0.1410875341491711
Hispanic or Latino,0.7354889412821376
