Category,Mohave
Total_doses_administered,154048
Total_people_one_dose,83604
Total_people_complete,70387
total_pouluation,83604
Male-65 years and older,19268
Male-55-64 years,7759
Male-45-54 years,4008
Male-20-44 years,6912
Male-Less than 20 years,1441
Female-65 years and older,21746
Female-55-64 years,9138
Female-45-54 years,4536
Female-20-44 years,6995
Female-Less than 20 years,1628
"Black or African American, non-Hispanic",517
"American Indian or Alaska Native, non-Hispanic",631
"Asian or Pacific Islander, non-Hispanic",1186
Hispanic or Latino,6429
Unknown,13190
Other Race,14970
"White, non-Hispanic",46681
